doc_id,technical,political,development,sustainability
kmaras_val_001,0,3,1,0
afad_032,2,0,0,0
kmaras_bld_0298,0,2,3,0
kmaras_bld_0233,0,2,2,0
csb_0909,0,1,1,3
hatay_bld_0042,1,0,1,3
kmaras_bld_2293,1,0,2,0
csb_0122,3,2,2,0
kmaras_val_014,0,2,3,0
kmaras_bld_0241,1,0,2,0
csb_0766,0,3,0,0
adiyaman_val_018,0,1,0,0
tccb_057,1,3,2,0
tccb_157,2,3,3,0
kmaras_bld_0036,0,2,0,0
csb_0762,2,3,3,0
hatay_bld_0226,1,0,1,1
tccb_089,2,3,2,0
hatay_bld_0251,0,1,1,0
hatay_bld_0246,0,1,0,0
csb_0561,2,3,1,0
tccb_088,2,3,3,1
kmaras_bld_0127,0,1,2,0
csb_0279,2,2,3,0
csb_0243,0,1,0,0
kmaras_val_218,1,3,2,0
tccb_341,0,3,1,0
csb_0083,2,0,2,0
hatay_val_159,0,1,0,0
adiyaman_val_016,0,0,0,0
hatay_bld_0184,1,0,2,0
csb_0827,2,3,2,0
kmaras_val_344,0,1,0,0
tccb_331,1,3,2,0
kmaras_bld_1257,1,0,0,0
hatay_bld_0131,2,0,0,3
csb_0205,2,2,3,0
adiyaman_val_054,0,1,0,0
kmaras_val_066,0,1,0,0
csb_0383,3,2,1,0
tccb_053,2,3,2,0
csb_0293,2,3,2,0
csb_0552,1,3,2,1
kmaras_val_010,1,3,2,0
csb_0174,2,3,3,0
csb_0726,2,3,3,0
tccb_332,0,3,2,0
hatay_bld_0215,0,0,0,0
csb_0532,1,3,2,0
kmaras_val_009,0,0,0,0
csb_0296,3,3,2,0
hatay_bld_0228,0,1,0,0
hatay_val_155,1,3,2,0
csb_0697,1,2,2,0
kmaras_bld_1230,1,2,2,0
csb_0115,3,2,2,0
hatay_bld_0021,0,1,2,1
csb_0542,0,3,0,0
hatay_bld_0223,0,1,0,0
hatay_val_236,1,1,1,0
csb_0111,1,3,2,0
kmaras_val_393,0,2,1,0
afad_045,1,2,2,0
csb_0359,2,3,3,1
hatay_val_309,2,3,3,0
hatay_bld_0218,2,1,3,1
csb_0101,3,2,2,0
tccb_153,2,3,2,0
hatay_bld_0771,3,0,2,0
